date,produce,weight
2020-05-19,"Kale, red Russian",9
2020-05-19,"Lettuce, optima",2.5
2020-05-19,Radishes,3
2020-05-19,Mizuma,12
2020-05-19,Mustard greens,3
2020-05-19,Chives,1
2020-05-19,"Asian greens, vitamin",1.5
2020-05-26,"Kale, red Russian",5
2020-05-26,Chard,1
2020-05-26,Spinach,4
2020-05-26,"Lettuce, optima",1
2020-05-26,Radishes,1.5
2020-05-26,Mustard greens,3
2020-05-26,Collard greens,3.5
2020-05-26,Chives,0.25
2020-05-26,"Kale, dwarf Siberian",4
2020-05-27,Spinach,1
2020-05-27,Kale,0.75
2020-06-02,Spinach,8.5
2020-06-02,Kale,12
2020-06-02,Collard greens,3
2020-06-02,Lettuce,0.5
2020-06-02,Chard,1.5
2020-06-02,"Asian greens, vitamin",1.5
2020-06-02,Mustard greens,4
2020-06-02,Radishes,3.5
2020-06-09,Collard greens,1
2020-06-09,Chard,6
2020-06-09,"Asian greens, vitamin",1
2020-06-09,Spinach,9
2020-06-09,Radishes,1.25
2020-06-09,"Kale, red Russian",3.25
2020-06-09,Mustard greens,1
2020-06-09,Beets,2.25
2020-06-16,Broccoli greens,2
2020-06-16,Kale,7.5
2020-06-16,Spinach,3.25
2020-06-16,Beets,1
2020-06-16,"Asian greens, vitamin",1.5
2020-06-16,Lettuce,2.5
2020-06-16,Chard,2
2020-06-23,Lettuce,18
2020-06-23,Chives,0.25
2020-06-23,Collard greens,1.5
2020-06-23,Parsley,2
2020-06-23,Chard,2
2020-06-23,"Kale, red Russian",9
2020-06-23,"Kale, dwarf Siberian",3.5
2020-06-23,Green onions,0.75
2020-06-23,Spinach,2
2020-06-23,Zucchini,0.25
2020-06-30,"Kale, dwarf Siberian",5
2020-06-30,Zucchini,5.75
2020-06-30,Collard greens,5.5
2020-06-30,Broccoli greens,1.25
2020-06-30,Chard,2.25
2020-06-30,Parsley,3
2020-06-30,Kale,3.5
2020-07-07,Broccoli,2
2020-07-07,Peas,0.25
2020-07-07,Curly kale,2.75
2020-07-07,"Kale, dwarf Siberian",5.5
2020-07-07,Chard,6
2020-07-07,"Lettuce, romaine",1.5
2020-07-07,Kale,4
2020-07-07,Broccoli greens,2.5
2020-07-07,Parsley,1.5
2020-07-07,Carrots,1.5
2020-07-07,Beets,0.5
2020-07-07,Zucchini,10.5
2020-07-14,Collard greens,4
2020-07-14,Zucchini,26.5
2020-07-14,Plums,4
2020-07-14,Kale,8.25
2020-07-14,Broccoli,0.75
2020-07-14,Chard,2
2020-07-14,Beets,1.5
2020-07-14,Peas,0.25
2020-07-14,Carrots,1.5
2020-07-19,Zucchini,9
2020-07-21,Collard greens,3.5
2020-07-21,Peas,0.5
2020-07-21,Beans,0.5
2020-07-21,Yellow squash,4
2020-07-21,Zucchini,22.5
2020-07-21,Parsley,7
2020-07-21,Chard,3
2020-07-21,Kale,3
2020-07-21,Broccoli,1.25
2020-07-21,Beets,0.5
2020-07-21,Basil,0.25
2020-07-28,"Tomatoes, cherry",0.5
2020-07-28,"Onions, white",1.5
2020-07-28,Yellow squash,9.5
2020-07-28,Green beans,2
2020-07-28,Basil,4
2020-07-28,Chard,6
2020-07-28,Zucchini,23
2020-07-28,Broccoli,0.5
2020-08-04,Cucumber,6
2020-08-04,Onions,3
2020-08-04,"Tomatoes, cherry",0.6
2020-08-04,Chard,4.25
2020-08-04,Kale,6.1
2020-08-04,Beets,3.4
2020-08-04,Yellow squash,19.4
2020-08-04,Lettuce,3.8
2020-08-04,Collard greens,6.6
2020-08-04,Green beans,6.1
2020-08-04,Broccoli,1
2020-08-04,"Kale, red Russian",6.3
2020-08-04,Parsley,4.7
2020-08-04,Zucchini,16.6
2020-08-04,Yellow squash,10.8
2020-08-11,Zucchini,6.5
2020-08-11,Lettuce,3.5
2020-08-11,Kale,11.5
2020-08-11,Collard greens,2.5
2020-08-11,Green beans,10
2020-08-11,Squash,27
2020-08-11,Yellow squash,2.5
2020-08-11,Cucumber,1
2020-08-15,"Apples, green",39
2020-08-18,Cucumber,4.5
2020-08-18,Kale,2.5
2020-08-18,Lettuce,3.3
2020-08-18,Zucchini,4
2020-08-18,"Tomatoes, cherry",1
2020-08-18,Yellow squash,19.1
2020-08-18,Chard,3.5
2020-08-18,Broccoli,1.5
