date,produce,weight
2010-03-30,greens,21
2010-03-31,kale,3.5
2010-04-06,potatoes,13.5
2010-04-06,leeks,5.5
2010-04-12,kale,11
2010-05-04,greens,16
2010-05-04,leeks,4
2010-05-04,lettuce,4.5
2010-05-11,radishes,2
2010-05-18,radishes,4
2010-05-18,chard,7
2010-06-01,lettuce,22.5
2010-06-01,greens,12.5
2010-06-01,leeks,7.5
2010-06-05,chard,3
2010-06-05,spinach,2
2010-06-08,lettuce,94.5
2010-06-08,chard,6
2010-06-08,herbs,0.5
2010-06-08,kale,2.5
2010-06-08,lettuce,28
2010-06-15,lettuce,75
2010-06-15,leeks,5
2010-06-15,chard,9
2010-06-19,lettuce,8.5
2010-06-19,greens,6
2010-06-22,lettuce,79
2010-06-22,chard,8.5
2010-06-22,onions,4.5
2010-06-22,lettuce,18
2010-06-22,greens,8
2010-06-22,onions,2
2010-06-22,lettuce,3
2010-06-22,chard,1
2010-06-29,lettuce,99.5
2010-06-29,chard,10
2010-06-29,lettuce,6.5
2010-06-29,kale,5
2010-06-29,collards,3
2010-06-29,lettuce,5
2010-06-29,beets,4
2010-06-29,onions,1.5
2010-06-30,lettuce,42.5
2010-07-05,greens,5
2010-07-05,onions,4
2010-07-06,onions,17.5
2010-07-06,beets,25
2010-07-06,lettuce,71.5
2010-07-06,zucchini,0.5
2010-07-06,greens,8
2010-07-09,greens,5
2010-07-10,plums,7.5
2010-07-13,lettuce,36.5
2010-07-13,chard,6.5
2010-07-13,zucchini,3
2010-07-13,plums,19
2010-07-13,greens,8
2010-07-13,onions,16
2010-07-13,beets,22.5
2010-07-17,chard,17
2010-07-19,chard,0.5
2010-07-19,potatoes,6.5
2010-07-19,beets,6.5
2010-07-21,zucchini,51.5
2010-07-21,greens,23
2010-07-21,plums,6
2010-07-21,basil,1
2010-07-21,beets,57
2010-07-21,potatoes,39
2010-07-24,greens,2
2010-07-24,onions,1.5
2010-07-24,zucchini,5.5
2010-07-24,lettuce,1
2010-07-24,potatoes,11
2010-07-26,chard,1.5
2010-07-26,zucchini,3
2010-07-26,beets,3
2010-07-27,lettuce,10
2010-07-27,greens,18
2010-07-27,beets,63
2010-07-27,potatoes,88
2010-07-27,zucchini,4
2010-07-27,plums,42
2010-07-27,herbs,1
2010-07-31,zucchini,16
2010-08-02,beets,2.5
2010-08-02,zucchini,5.5
2010-08-02,lettuce,0.5
2010-08-02,beans,1.5
2010-08-02,tomatoes,0.5
2010-08-03,beans,1
2010-08-03,zucchini,16
2010-08-03,greens,17.5
2010-08-03,beets,18.5
2010-08-03,potatoes,24
2010-08-07,squash,55
2010-08-07,chard,3
2010-08-07,zucchini,47
2010-08-10,squash,14
2010-08-10,peas,1.5
2010-08-10,beans,4
2010-08-10,lettuce,8.5
2010-08-10,collards,10
2010-08-10,beets,25
2010-08-10,chard,13.5
2010-08-10,basil,1.5
2010-08-10,zucchini,9.5
2010-08-10,potatoes,2
2010-08-10,herbs,2
2010-08-10,tomatoes,0.5
2010-08-10,kale,2
2010-08-14,beans,2
2010-08-14,zucchini,5
2010-08-17,zucchini,10.5
2010-08-17,beans,6.5
2010-08-17,cucumbers,1
2010-08-17,zucchini,21
2010-08-17,greens,4
2010-08-17,beets,17
2010-08-17,beans,2
2010-08-17,kale,4
2010-08-17,potatoes,41
2010-08-17,beans,6
2010-08-17,onions,2
2010-08-17,tomatoes,2
2010-08-17,zucchini,18
2010-08-17,potatoes,4.5
2010-08-17,greens,7.5
2010-08-20,tomatoes,4
2010-08-20,zucchini,4
2010-08-23,zucchini,2
2010-08-23,tomatoes,1
2010-08-23,beans,1
2010-08-24,beans,4.5
2010-08-24,tomatoes,4
